Shree Beleshwar Mahadev Mandir (Nath Nagar, Parbhani) | Parbhani |  | maharashtra.js
Jabareshwar Temple (Parbhani Outskirts) | Parbhani |  | maharashtra.js
Shri Siddheshwar Mandir (Mahagaon Kalgaon) | Mahagaon Kalgaon |  | maharashtra.js
Manikeshwar Mahadev Mandir (Mankeshwar, Jintur) | Mankeshwar |  | maharashtra.js
Anandeshwar Mahadev Temple (Datta Nagar, Parbhani) | Parbhani |  | maharashtra.js
Shri Someshwar Mahadev Mandir (Parbhani City) | Parbhani |  | maharashtra.js
Vitthal Rukmini Mahadev Mandir (Parbhani) | Parbhani |  | maharashtra.js
Shri Murudeshwar Temple (Peth Shivani) | Peth Shivani |  | maharashtra.js
Shukleswar Mandir (Peth Shivani) | Peth Shivani |  | maharashtra.js
Shri Siddheshwar Devasthan (Solapur City) | Solapur |  | maharashtra.js
Shree Sangameshwar Devasthan (Hattarsang Kudal) | Hattarsang Kudal |  | maharashtra.js
Shri Veertapasvi Mandir (Akkalkot Road, Solapur) | Solapur |  | maharashtra.js
Revansiddeshwar Temple (Vijapur Road, Solapur) | Solapur |  | maharashtra.js
Shiv Parvati Temple (Geeta Colony, Akluj) | Akluj |  | maharashtra.js
Shri Amrut Ling Siddheshwar Temple (Sidheshwar Temple Area) | Solapur |  | maharashtra.js
Shri Papeshwar Ling (Sidheshwar Temple Area) | Solapur |  | maharashtra.js
Motha Mahadev Mandir (Vadapur) | Vadapur |  | maharashtra.js
Ogsiddha Temple (Siddapur Road, Arali) | Arali |  | maharashtra.js
Shri Yoginath Ling (Jule Solapur) | Jule Solapur |  | maharashtra.js
Shri Omkareshwar Ling (Jule Solapur) | Jule Solapur |  | maharashtra.js
Kedareshwar Mahadev Temple (Pangari, Yavatmal City) | Yavatmal |  | maharashtra.js
Mandev Shiv Temple (Manpur, Arni Road) | Manpur |  | maharashtra.js
Chausala Shiv Mandir (Chausala Forest Area) | Chausala |  | maharashtra.js
Jagrit Shiv Mandir (Shindola, Jugad) | Shindola |  | maharashtra.js
Nilkantheshwar Mahadev Mandir (Husanapur, near Darwha) | Husanapur |  | maharashtra.js
Dhankeshwar Temple (Pusad) | Pusad |  | maharashtra.js
Ujjaineshwar Shiv Mandir (Darwha) | Darwha |  | maharashtra.js
Kanakneshwar Mandir (Kalgaon, Mahagaon) | Kalgaon |  | maharashtra.js
Omkareshwar Mahadev Mandir (Dabhadi) | Dabhadi |  | maharashtra.js
Panchdhara Shiva Mandir (Yavatmal City) | Yavatmal |  | maharashtra.js
Kundareshwar Temple (Near Wani) | Wani |  | maharashtra.js
Ancient Chalukya Shri Siddheshwara Swamy Temple (Hottal) | Hottal |  | maharashtra.js
Unkeshwar Mahadev Temple (Kinwat) | Kinwat |  | maharashtra.js
Urvashi Mahadev Temple (Nanded City) | Nanded |  | maharashtra.js
Kadyacha Mahadev Temple (Ghagardara) | Ghagardara |  | maharashtra.js
